event name,latitude,longitude,depth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,MrrError,MttError,MppError,MrtError,MrpError,MtpError,half duration,moment,magnitude,exponent,year,month,day,dayofweek,is_weekend,is_weekday,hour,minute,second
42,-21.77,-68.38,124.0,29.03221235232206,27.775206180379996,29.016909631272274,28.493260056814723,29.18448565990395,28.420597583957445,22.897627091290442,23.08278537031645,23.08278537031645,27.301046064262543,27.477130519569783,23.07554696139253,2.0,24.174059807725026,5.38,24,1979,5,4,4,0,1,17,21,45
43,-23.05,-69.32,72.4,29.03212621409213,27.774910207347244,29.017015800129005,28.493183863994993,29.184439097718816,28.42070776404097,23.73239375982297,23.72427586960079,23.73239375982297,27.301149410227755,27.477183499134657,23.707570176097935,5.1,25.486572150518356,6.26,25,1979,5,14,0,0,1,23,4,7
44,-22.9,-69.39,93.3,29.032212864446407,27.77518555628604,29.016910287076186,28.493260252092217,29.18448397585703,28.42061496271197,22.832508912706235,23.173186268412273,23.193124598354462,27.301043241443683,27.47712936147433,23.0,1.9,24.155943017971836,5.37,24,1979,5,15,1,0,1,17,32,43
45,-27.32,-71.11,15.0,29.032226506087646,27.775209386864933,29.016894789788957,28.493291857992215,29.184468702701658,28.420620486174265,23.143014800254097,23.22271647114758,23.367355921026018,27.301092095334873,27.47718074898842,23.12057393120585,2.3,24.87921060529176,5.85,24,1979,5,20,6,1,0,19,37,48
46,-22.87,-69.66,83.0,29.032209017450317,27.77514685613803,29.016916494190305,28.49325578858471,29.184486239237298,28.420617584304324,23.00432137378264,23.214843848047696,23.217483944213907,27.301054098338884,27.477131532900778,23.14921911265538,1.9,24.299725153975636,5.47,24,1979,5,22,1,0,1,8,33,41
47,-24.56,-70.98,60.0,29.032192012028947,27.774977292805094,29.01694381947492,28.49327963992054,29.18449670970242,28.42062943898036,23.235528446907548,23.416640507338283,23.478566495593842,27.301072337311844,27.477147166850713,23.313867220369154,3.2,24.922673567858553,5.88,24,1979,5,28,0,0,1,14,59,26
48,-52.93,-74.65,15.0,29.032218872789322,27.775168939695806,29.016905019731432,28.493267588883,29.18448030671365,28.420615572769464,22.799340549453582,22.672097857935718,22.934498451243567,27.301057138220905,27.477140942289928,22.863322860120455,2.3,24.429913697763755,5.55,24,1979,6,6,2,0,1,10,54,26
49,-19.35,-69.24,126.9,29.03220789237898,27.77511500427658,29.01691948075802,28.493282164458957,29.184476731256954,28.420611549671793,23.110589710299248,23.292256071356476,23.307496037913214,27.30105431547402,27.477139205187274,23.250420002308893,2.6,24.67623621676331,5.72,24,1979,6,17,6,1,0,19,33,37
50,-29.58,-68.56,141.2,29.032207900444018,27.77532516883351,29.01690742575885,28.493247656514054,29.184482473556717,28.420620469686423,22.9731278535997,23.20139712432045,23.195899652409235,27.301049755613374,27.47713442811915,23.17897694729317,2.0,24.465828815357437,5.58,24,1979,6,27,2,0,1,21,46,30
51,-32.38,-71.63,49.0,29.032235526352284,27.77517192781374,29.016887592343245,28.49327941675622,29.184491578155313,28.420618491140765,23.15836249209525,23.3654879848909,23.29003461136252,27.30107298868957,27.477151943778715,23.255272505103306,3.0,24.719662683018047,5.75,24,1979,7,6,4,0,1,2,1,17
52,-28.01,-71.48,19.0,29.032221703536838,27.7752117917131,29.01689962700698,28.493267393608804,29.184483734466973,28.42061591901793,22.7481880270062,22.88081359228079,22.954242509439325,27.301054966878777,27.47714412696008,22.740362689494244,2.1,24.358505911490234,5.51,24,1979,8,2,3,0,1,7,40,29
53,-21.32,-66.5,251.6,29.032213033406986,27.7751804693448,29.016910403617032,28.493268003142965,29.184484995657556,28.420615251252784,22.797267540830717,23.000867721531225,23.04020662757471,27.30105058073456,27.477132864703627,22.94250410616808,1.7,24.064832219738573,5.31,24,1979,8,10,4,0,1,1,28,48
54,-31.4,-67.06,27.0,29.032219945410922,27.77518519189395,29.016902972926783,28.493243234723902,29.18448573942034,28.4206050203028,22.8750612633917,23.01703333929878,22.93951925261862,27.301064303572907,27.47715252279672,22.986771734266245,1.9,24.307282047033347,5.47,24,1979,8,30,3,0,1,18,59,53
55,-33.41,-71.55,44.0,29.03221956233208,27.775186868095034,29.016903273682356,28.493261423755335,29.184484861899396,28.420612044316957,22.812913356642856,22.954242509439325,23.0,27.301051058435586,27.477139784222263,22.919078092376076,1.8,24.161368002234976,5.37,24,1979,10,11,3,0,1,8,56,2
56,-24.27,-66.84,181.0,29.032077085994285,27.77350706137837,29.017146825662294,28.493583232452966,29.184436229131844,28.420535466537938,24.08278537031645,24.311753861055756,24.230448921378272,27.301303515038022,27.47728770237063,24.260071387985075,5.0,25.76342799356294,6.44,25,1979,11,22,3,0,1,2,41,27
57,-35.9,-71.5,110.8,29.0322146306659,27.775139348930296,29.016911105785415,28.49326605458339,29.1844801221197,28.420615754137742,22.92941892571429,23.20682587603185,23.20139712432045,27.301046932818505,27.477133270034116,23.127104798364808,2.3,24.433289685195025,5.56,24,1979,12,26,2,0,1,19,43,42
58,-24.55,-69.59,114.3,29.032209045677874,27.77520720062777,29.016913002177397,28.49326887211124,29.184485466792662,28.420609208343695,22.954242509439325,23.22271647114758,23.170261715394957,27.301045412844434,27.47713138813935,23.12057393120585,2.0,24.243781916093795,5.43,24,1979,12,28,4,0,1,13,46,24
59,-33.27,-69.42,15.0,29.032215175047178,27.77537259482487,29.01689717080974,28.49327785460275,29.184488664477342,28.420608367441087,23.041392685158225,23.096910013008056,23.100370545117563,27.30110381945106,27.47716453724615,23.079181246047625,2.2,24.468347330412158,5.58,24,1980,1,14,0,0,1,21,51,8
60,-45.17,-76.29,15.0,29.032210828042867,27.77516012098398,29.016913854297968,28.49327170356883,29.18448452963372,28.42061392396345,22.770852011642145,22.806179973983888,22.903089986991944,27.301064303572907,27.477148035386985,22.81954393554187,1.8,24.258158193340794,5.44,24,1980,1,28,0,0,1,16,59,24
61,-32.02,-71.56,46.9,29.03221684084963,27.77518907629789,29.01690596627089,28.493262200677826,29.184488218620412,28.420612985790033,22.756636108245846,22.94398887507377,22.774516965728548,27.30104387115102,27.477132010613136,22.82412583391655,1.4,23.714245911017894,5.08,23,1980,2,14,3,0,1,14,7,0
