date,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,et0_fao_evapotranspiration,vapor_pressure_deficit,time_of_day,region
1940-01-01,19.6,67.85401,13.5,0.0,0.0,0.0,0.0,0.12208654,0.73353887,Madrugada,"Point (-30, 0)"
1940-01-01,19.45,68.044876,13.4,0.0,0.0,0.0,0.0,0.11621466,0.7224325,Madrugada,"Point (-30, 0)"
1940-01-01,19.35,67.5825,13.2,0.0,0.0,0.0,0.0,0.108419225,0.72835636,Madrugada,"Point (-30, 0)"
1940-01-01,21.3,91.73364,19.9,,,0.0,0.0,,0.20935893,Madrugada,"Point (-30, 60)"
1940-01-01,21.35,91.17003,19.85,,,0.0,0.0,,0.22432017,Madrugada,"Point (-30, 60)"
1940-01-01,21.4,90.32935,19.75,,,0.0,0.0,,0.24643183,Madrugada,"Point (-30, 60)"
1940-01-01,21.45,89.77422,19.7,,,0.0,0.0,,0.26137614,Madrugada,"Point (-30, 60)"
1940-01-01,21.45,89.21868,19.6,,,0.0,0.0,,0.27557874,Madrugada,"Point (-30, 60)"
1940-01-01,21.55,88.399284,19.55,,,0.0,0.0,,0.298342,Madrugada,"Point (-30, 60)"
1940-01-01,21.6,87.5833,19.45,,,0.0,0.0,,0.32030654,Madrugada,"Point (-30, 60)"
1940-01-01,21.6,87.31141,19.4,0.1,0.1,0.0,0.0,0.46737346,0.32732224,Madrugada,"Point (-30, 60)"
1940-01-01,21.7,86.240974,19.3,0.1,0.1,0.0,0.0,0.47286797,0.35711217,Madrugada,"Point (-30, 60)"
1940-01-01,21.8,84.39101,19.05,0.0,0.0,0.0,0.0,0.5119126,0.40761447,Madrugada,"Point (-30, 60)"
1940-01-01,21.8,84.12825,19.0,0.0,0.0,0.0,0.0,0.46118242,0.41447806,Madrugada,"Point (-30, 60)"
1940-01-01,21.9,82.57865,18.8,0.0,0.0,0.0,0.0,0.4036471,0.45773387,Madrugada,"Point (-30, 60)"
1940-01-01,21.95,80.54399,18.45,0.0,0.0,0.0,0.0,0.32772473,0.51276755,Madrugada,"Point (-30, 60)"
1940-01-01,21.85,81.037025,18.45,0.0,0.0,0.0,0.0,0.2049802,0.49673772,Madrugada,"Point (-30, 60)"
1940-01-01,21.65,82.03331,18.45,0.0,0.0,0.0,0.0,0.13168749,0.46493363,Madrugada,"Point (-30, 60)"
1940-01-01,21.55,82.79546,18.5,0.0,0.0,0.0,0.0,0.07148496,0.4424982,Madrugada,"Point (-30, 60)"
1940-01-01,21.45,83.564964,18.55,0.0,0.0,0.0,0.0,0.042276982,0.42012906,Madrugada,"Point (-30, 60)"
1940-01-01,21.45,83.564964,18.55,0.0,0.0,0.0,0.0,0.039821643,0.42012906,Madrugada,"Point (-30, 60)"
1940-01-01,21.45,83.303795,18.5,0.0,0.0,0.0,0.0,0.037079245,0.42680764,Madrugada,"Point (-30, 60)"
